sentence,our approach,Arora's approach,human annotation
"By default, when this property is not set, we use the ACLs from yarn.resourcemanager.zk-acl for shared admin access and rm-address:random-number for username-based exclusive create-delete access.","<and, ANDs>, <admins, admin, Admins, ADMIN, Admin>, <acls, Acl, Acls, ACL, ACLS, ACLs, acl>","acls, BY, username - based exclusive create - delete access, SET, WHEN, random - number, USE, shared admin access, rm - address, ACLS","ACL,shared admin access,"
Clients should retry upon receiving it.,,IT,"client,"
An asynchronous implementation of FSWAL.,,asynchronous implementation of fswal,"FSWAL,"
xpath_string returns a string.,,STRING,
Parse command line options.,,Command Line options,
"<property> <name>fs.azure.daemon.userlist</name> <value>user1,user2</value> </property> <property> <name>fs.azure.chmod.allowed.userlist</name> <value>userA,userB</value> Caching of both SAS keys and Authorization responses can be enabled using the following setting: The cache settings are applicable only when fs.azure.authorization is enabled.","<and, ANDs>","USING, ONLY, AND, usera, SAS, CACHE, and, following setting, NAME, VALUE","SAS key,authorization response,"
"It is also possible to grant multiple permissions against the same resource in a single statement, as in this example.",,"single statement, AS, IT, TO","permission,node,"
"Given a partition iterator, calculate the function value.",,"function value, partition iterator", partition iterator
"This is an incompatible change for the 3.0 release line, as 3.0.0-alpha1 and 3.0.0-alpha2 depended on Netty 4.1.0.Beta5.","<and, ANDs>, <netty, Netty>","ON, incompatible change, AND, AS, and, Incompatible change",
Get outstanding ContainerRequests matching the given parameters.,,"GET, containerrequests",
Set the optional ID corresponding to this allocation request.,<allocation request>,"optional id, TO, allocation request, SET","allocation request,"
Describes an ACID table that can receive mutation events.,"<ACID table, acid table>","ACID table, EVENTS, Acid table","ACID table,events"
This is needed because Oracle JDBC drivers do not support generic LIMIT and OFFSET escape functions.,"<and, ANDs>","SUPPORT, Oracle jdbc, OFFSET, FUNCTIONS, LIMIT","Oracle JDBC drivers,"
"Instead of removing ReduceSink operators from the plan, they will be tagged, and then the execution plan compiler might take action, e.g., on Tez, ReduceSink operators that just need to forward data will be translated into a ONE-TO-ONE edge.","<tez, Tez, TEZ>, <datum, Datanode, DATA, datanode, Datanodes, datanodes>, <and, ANDs>","ACTION, ON, PLAN, ReduceSink operators, ONE - TO - ONE edge, AND, TO, execution plan compiler, DATA, and, INTO","Tez,ONE-TO-ONE edge,execution plan compiler,ReduceSink operators"
"Unlike dfs.datanode.drop.cache.behind.writes, this is a client-side setting rather than a setting for the entire datanode.","<datum, Datanode, DATA, datanode, Datanodes, datanodes>","entire datanode, client - side setting","datanode,"
"There was general consensus that when it works, Arc/Phabricator is an improvement on ReviewBoard.",,"phabricator, ON, WHEN, general consensus",
Reference Guide when it is rebuilt.,,"Reference guide, IT, reference guide",
"Go to start of metadata Meeting date: Sept 13, 2010.",,"TO, metadata Meeting date",
All metrics names start with capitals.,"<metric name, metrics names, metric names, metrics name, Metrics names>",ALL,
"As seen from the normalization plan, since the larger region is more than twice the average region size it ends being split into two regions ?one with start key as '1' and end key as '154717' and the other region with start key as '154717' and end key as '3'.","<and, ANDs>, <start key, start keys>","twice the average region size, AND, ONE, other, AS, start key, larger region, and, SPLIT, KEY, normalization plan, REGIONS","region,"
